Taxon,Growth_form,lifeform,gross_anatomy,diagnostic_traits,,
Achnatherum webberi,bunchgrass,perennial,"body of lemma covered with dense spreading, and long (2-5 mm) soft hairs; plants < 2.5 dm tall; awn  tending to fall at seed maturity",,,
Hesperostipa comata,bunchgrass,perennial,Awn very long 7-16 cm; lemma long (8- 1 4mm); glumes very long (15-35 mm) ,,,
Triticeae,"Bunchgrasses, rhizomatous, stoloniferous",perennial,,Inflorescence with sessile spikelets located on opposite sides of culm  (distichous), lemmas with 1-5 generally prominent veins,
Elymus elymoides,bunchgrass,perennial,"caryopsis disarticulating beneath the glumes; glumes narrowed to long (3-8 cm) nearly linear bristles (subulate);  generally 2-3 spikelets borne side by side on the culm; lemmas with long  (2-12cm) awns, generally bending to 90* when mature; inflorescence often appearing purpleish",,,
Leymus cinereus,bunchgrass,perennial,"plant generally > 7 dm tall; auricles evident; leaf blades, thick, flat and broad (4-15 mm); glumes long (7-16 mm) and narrow linear (subulate)",,,
Pseudoroegneria spicata,bunchgrass,perennial,lemmas awned or awnless; spikelets on opposite sides of the rachis and alternating; spikelets sessile on rachis; glumes membraneous,,,
Poeae,"Bunchgrasses, rhizomatous, stoloniferous","perennial, annual",,no single set of traits…,,
Koeleria macrantha,bunchgrass,perennial,"infloresence a moderately condensed panicle; leaf tips prowshaped; leaf collars, and occasionally the cut ligules, with some hairs;",,,
Festuca idahoensis,bunchgrass,perennial,Infloresence a moderately open panicle of ascending branches; lemmas with 2-6 mm awns,,,
Poa secunda,bunchgrass,perennial,infloresence a moderately congested panicle; leaves with a prow shaped tip;  ligule of cauline leaves to 2.5 mm,,,
Pleuraphis jamesii,rhizomatous,perennial,ligule a cut membrane or fringe of hairs; plants glaucous; spikelets clearly long soft hairy from the base,,,
Sporobolus cryptandrus,bunchgrass,perennial,spikelets with one floret; collar and leaf sheath near ligule of long soft hairs; lemmas awnless and 1-nerved,,,
Polygonaceae,,"perennials, annuals",,"Typically, 3 petals and 3 sepals barely distinguishable (tepals); Achene long and flat or more generally 3 sided",,
Eriogonum ,herbs,"perennials, annuals",,"Tepals 6, achenes long and three sided.",,
Eriogonum heracleoides,low densely spreading (stoloniferous) herb,perennial,"Flowers held in large open umbels often with multiple herbaceous bracts; flowering stems usually with a whorl of leaves mid-stem; leaves long and lanceolate,  the upper surface often curled inwards below; with dense appressed hairs, these often falling in patches as the plant ages",Stipitate perianths,,
Eriogonum ovalifolium,tightly bunched (cushion) herb,perennial,Flowers held in tight nearly rounded heads (capitate) at the end of long naked stems; Tepals easily distiguishable as two whorls; Plant hairy ,,,
Eriogonum umbellatum,low densely spreading (stoloniferous) herb,perennial,Bright yellow flowers; broadly ovate leaves from an evident petiole which are generally green above and hairy-woolly below; large herbaceous bracts at base of umbel,,,
Plantaginaceae,,"Perennials, annuals",,"Corolla of 5 petals fused below, but forming two lips above; stamens generally 1-2 or 4-5",,
Penstemon ,herbs with few to many erect-ascending stems,perennials,"leaves both basal and cauline; caulines leaves opposite; flowers whorled on stem (verticillasters); flowers with 5 fused corollas splitting into an 2 lobed upper and three lobed lower lip; the fifth stamen is sterile, sometimes hairy",Corolla distinctly two-lipped at end; four stamens and a fifth sterile (oftentimes) hairy staminode present,,
Penstemon acuminatus,"decumbent to erect, multiple stemmed, herb",perennial,,,,
Penstemon deustus,herb with many clustered decumbent/erect stems,perennial,"flowers white, often mostly facing the same direction (secund); ",,,
Penstemon eatonii,herb with several erect stems,perennial,"flowers many, red, the upper and lower lips scarcely distinguishable; ",,,
Penstemon pachyphyllus,herb with several erect stems,perennial,"Flowers blue, with a not well differentiated throat and mouth; staminodes with dense orange hairs",,,
Penstemon palmeri,herb with many erect stems,perennial,"foliage glaucescent, and mostly located along the very tall stems; flowers light pink, with wide mouths, and an almost protruding staminode with orange hairs",,,
Penstemon speciosus,herb with several erect stems,perennial,"Flowers blue, with a wide mouth and notably narrow at the base (throat); plants generally lacking both glands and hairs throughout",,,
